Reaction Name,Reaction Formula,Relative Flux
GlycP,Mal4 + Pi <=> G1P + Mal3 ,1
GPM,G1P <=> G6P ,1
PGI,G6P <=> F6P ,1
PPiPFK,F6P + PPi <=> Pi + FBP ,1
FBPald,FBP <=> DHAP + G3P ,1
TPI,DHAP <=> G3P ,1
GAPDH,Pi + G3P + NAD <=> BPG + NADH ,2
PGK,BPG + ADP <=> P3G + ATP ,2
PGM,P3G <=> P2G ,2
ENO,P2G <=> PEP + H2O ,2
PYK,ADP + PEP <=> ATP + PYR ,2
PDH,NAD + PYR + CoA <=> NADH + AcCoA + CO2 ,2
ACS,ATP + CoA + Ace <=> PPi + AcCoA + AMP ,6
Thio,2 AcCoA <=> CoA + AACoA ,4
AAR,NADH + AACoA <=> NAD + HBCoA ,4
PHBsyn,HBCoA + HB <=> CoA + PHB ,4
TktA,F6P + G3P <=> X5P + E4P ,0
SBPald,DHAP + E4P <=> SBP ,-0
SBPase,H2O + SBP <=> Pi + S7P ,-0
TktB,G3P + S7P <=> X5P + Ri5P ,-0
RibE,X5P <=> Ru5P ,-0
RibI,Ri5P <=> Ru5P ,-0
RbuK,ATP + Ru5P <=> ADP + RBP ,-0
RbuCO,H2O + CO2 + RBP <=> 2 P3G ,-0
ADPPPT,ADP + PolyPP <=> ATP + PolyP ,2
AMPPPT,AMP + PolyPP <=> ADP + PolyP ,6
PPiase,PPi + H2O <=> 2 Pi ,5
EX_PolyPP,PolyPP <=> ,-8
EX_PolyP,PolyP <=> ,8
EX_Mal4,Mal4 <=> ,-1
EX_Mal3,Mal3 <=> ,1
EX_Ace,Ace <=> ,-6
EX_Pi,Pi <=> ,8
EX_CO2,CO2 <=> ,2
EX_HB,HB <=> ,-4
EX_PHB,PHB <=> ,4
EX_H2O,H2O <=> ,-3
