t_experimental,mean,SD
-1.0,0.0,0.0
-0.75,0.04690852556384151,0.0564285963552262
1.0,1.7686875041173058,0.10835426874912585
1.25,1.576939347187855,0.06355607975771693
2.0,2.2956068291673803,0.14080562567092123
2.25,2.1450119967846835,0.10777521388982408
3.0,2.919689218544491,0.11512310233977227
3.25,2.714915644851108,0.18378287486285874
4.0,2.571697272966575,0.06047476809252087
4.25,2.5146369166282936,-0.001256409690914664
5.0,2.090071308075885,0.16770968245386367
5.25,2.110499251057348,0.06616904731076001
6.0,2.204933185701976,0.01906346834924548
6.25,2.176992334348502,0.12193577166211914
7.0,1.9462722666301644,0.05094151806783689
7.25,2.0753183592132016,0.04584343185754726
8.0,2.0133741287945925,0.19069037504828426
8.25,2.1351780875252624,0.07276481939796567
9.0,2.0180804695559447,0.05480688741285881
9.25,2.1728352395109933,0.2179463373348914
10.0,2.35725413696344,0.07562561031833623
10.25,2.356497393487958,0.1920347205770568
11.0,2.2995636997152546,0.03490174004469714
11.25,2.613527749144403,0.07417427393979845
20.0,2.938646392082462,0.05468909446938786
20.25,2.886766955408265,0.059155132599981126
60.0,3.293087663764867,0.19157364704817623
60.25,3.317552444037143,0.08276861277428346
138.0,5.163767634291494,0.12716419345763028
138.25,5.518799451464399,0.26139061180393475
