Compound	Concentration (M)
H2O	0.9999999999932575
ATP	0.0028789840399691224
ADP	0.00999999987602259
NAD	0.009999999985020743
Pi	0.00018742830241219504
NADH	1.0000000014979311e-06
PPi	0.009999999985586405
CoA	3.866267388211474e-06
CO2	0.00015612451239993587
AMP	1.0000000123879525e-06
AcCoA	0.009999999874573715
PYR	4.135537727152097e-05
Ace	0.009999999876120557
PEP	1.0000000123437745e-06
G3P	2.2827654804917177e-05
DHAP	0.0024090227114609898
Ri5P	4.265470583708784e-05
P3G	0.000424334339582532
AACoA	6.618603358036446e-05
Ru5P	1.0000000017899322e-06
G6P	0.009999999993613033
X5P	3.682352972468304e-05
E4P	1.0000000036960305e-06
BPG	1.0000000014940888e-06
S7P	0.009282863393544744
P2G	3.851466843825988e-06
FBP	0.005918915073479492
HBCoA	1.0000000123891534e-06
RBP	0.0001224054766137466
SBP	1.0000000045549685e-06
Mal4	0.008564570594048186
G1P	0.009999999900274817
F6P	0.00024360711400397132
Mal3	1.1676008549056745e-06
