Reaction Name,kcatf (1/s),kcatr (1/s),KM (mM),MWe(Da)
GlycP,50.5,0.000419875853999339, Mal4:8.5646 Pi:0.18743 G1P:10 Mal3:0.0011676,95773
GPM,126.8,868.625163722022, G1P:10 G6P:10,58606
PGI,34,0.0442475434890754, G6P:10 F6P:0.24361,59463
PPiPFK,204,217.205934030643, Pi:0.18743 F6P:0.24361 PPi:10 FBP:5.9189,60300
FBPald,8.035,0.00887641494812473, FBP:5.9189 DHAP:2.409 G3P:0.022828,38765
TPI,4435,293144.499631957, DHAP:2.409 G3P:0.022828,26580
GAPDH,50,0.00713663301298375, Pi:0.18743 G3P:0.022828 NAD:10 BPG:0.001 NADH:0.001,35849
PGK,570,169627.220001157, BPG:0.001 ADP:10 P3G:0.42433 ATP:2.879,42183
TktA,20865327.6884875,45, F6P:0.24361 G3P:0.022828 X5P:0.036824 E4P:0.001,69778
SBPald,8.035,29.2262031106717, DHAP:2.409 E4P:0.001 SBP:0.001,38900
SBPase,30.4,6.17629129897515, Pi:0.18743 H2O:1 SBP:0.001 S7P:9.2829,38691
TktB,284898.197106942,45, G3P:0.022828 X5P:0.036824 S7P:9.2829 Ri5P:0.042655,69778
RibE,1300,258.250729161111, X5P:0.036824 Ru5P:0.001,24821
RibI,848.5,41.6320390808279, Ri5P:0.042655 Ru5P:0.001,22892
RbuK,6.08,5872.8111933091, ADP:10 ATP:2.879 Ru5P:0.001 RBP:0.12241,32654
RbuCO,3.5,9.24269122589006e-05, P3G:0.42433 H2O:1 CO2:0.15612 RBP:0.12241,48364
PGM,60.85,0.000223579844184114, P3G:0.42433 P2G:0.0038515,58833
ENO,10.3,17.015704578754, P2G:0.0038515 PEP:0.001 H2O:1,44024
PYK,53,132.716051994156, ADP:10 ATP:2.879 PEP:0.001 PYR:0.041355,50000
PDH,18.2,0.000371909894891394, NAD:10 NADH:0.001 PYR:0.041355 CoA:0.0038663 AcCoA:10 CO2:0.15612,208567
ACS,9.1,8.66532598008827e-06, PPi:10 ATP:2.879 CoA:0.0038663 AcCoA:10 Ace:10 AMP:0.001,69540
Thio,29.5,4.50517812868195e-06, CoA:0.0038663 AcCoA:10 AACoA:0.066186,40554
AAR,300,1170442600.85889, NAD:10 NADH:0.001 AACoA:0.066186 HBCoA:0.001,25356
