Reaction Name,Reaction Formula,Flux
GlycP,Mal4 + Pi  -> G1P + Mal3 ,0.0929103576170261
GPM,G1P  <=> G6P ,0.0929103576170261
PGI,G6P  <=> F6P ,0.0929103576170261
PPiPFK,F6P + PPi  -> Pi + FBP ,0.0887478969834531
FBPald,FBP  <=> DHAP + G3P ,0.0887478969834531
TPI,DHAP  <=> G3P ,0.0845854363498802
GAPDH,Pi + G3P + NAD  <=> BPG + NADH ,0.165008412066187
PGK,BPG + ADP  <=> P3G + ATP ,0.165008412066187
PGM,P3G  <=> P2G ,0.189983175867625
ENO,P2G  <=> PEP + H2O ,0.189983175867625
PYK,ADP + PEP  -> ATP + PYR ,0.189983175867625
PDH,NAD + PYR + CoA  -> NADH + AcCoA + CO2 ,0.189983175867625
ACS,ATP + CoA + Ace  -> PPi + AcCoA + AMP ,0.52
Thio,2 AcCoA  -> CoA + AACoA ,0.354991587933813
AAR,NADH + AACoA  -> NAD + HBCoA ,0.354991587933813
PHBsyn,HBCoA + HB  -> CoA + PHB ,0.354991587933813
TktA,F6P + G3P  <=> X5P + E4P ,0.00416246063357292
SBPald,DHAP + E4P  <=> SBP ,0.00416246063357292
SBPase,H2O + SBP  -> Pi + S7P ,0.00416246063357292
TktB,G3P + S7P  <=> X5P + Ri5P ,0.00416246063357292
RibE,X5P  <=> Ru5P ,0.00832492126714584
RibI,Ri5P  <=> Ru5P ,0.00416246063357292
RbuK,ATP + Ru5P  -> ADP + RBP ,0.0124873819007188
RbuCO,H2O + CO2 + RBP  -> 2 P3G ,0.0124873819007188
ADPPPT,ADP + PolyPP  -> ATP + PolyP ,0.177495793966906
AMPPPT,AMP + PolyPP  -> ADP + PolyP ,0.52
PPiase,PPi + H2O  -> 2 Pi ,0.431252103016547
EX_PolyPP,PolyPP  <=> ,-0.697495793966906
EX_PolyP,PolyP  <=> ,0.697495793966906
EX_Mal4,Mal4  <=> ,-0.0929103576170261
EX_Mal3,Mal3  <=> ,0.0929103576170261
EX_Ace,Ace  <=> ,-0.52
EX_Pi,Pi  -> ,0.697495793966906
EX_CO2,CO2  <=> ,0.177495793966906
EX_HB,HB  <=> ,-0.354991587933813
EX_PHB,PHB  <=> ,0.354991587933813
EX_H2O,H2O  <=> ,-0.257918769683214
