Protein,Normalized Abundance
AAR,11.988441103604936
ACS,14.438643564168554
ALD,6.018118568443664
ENO,1.3535529019639831
GAPDH,11.255646097941934
GPM,2.10882932421764
GlycP,2.535124752697788
PDH,4.776378088089813
PGI,0.7873176798646847
PGK,6.156515251236396
PGM,0.9338819059501572
PHBsyn,3.6476964641653757
PPT,2.466954188431452
PPiPFK,1.7590082914482965
PYK,0.47159506353457
RbuCO,0.9762834904013094
RbuK,0.3645775780459246
RibE,0.12454747739626157
RibI,0.058265636151427484
SBPase,0.4254866192155905
TKT,0.4704530887722133
TPI,6.156515251236396
Thio,20.726167613021637
