Protein_x,Abundance,experimental_concentration,Reaction,Protein_y,Concentration,Difference
AAR,0.0002390840240924,0.0002390840240924,AAR,AAR,8.368868268630886e-06,0.00023071515582376913
ACS,0.0002879481140145,0.0002879481140145,ACS,ACS,4.667514148416016e-05,0.00024127297253033985
ALD,0.000120018607288,0.000120018607288,ALD,ALD,1.878249610671678e-05,0.00010123611118128322
ENO,2.69937410399646e-05,2.69937410399646e-05,ENO,ENO,9.144914178107354e-06,1.7848826861857246e-05
GAPDH,0.0002244699823438,0.0002244699823438,GAPDH,GAPDH,1.0578013755222267e-05,0.00021389196858857774
GPM,4.205612694769226e-05,4.205612694769226e-05,GPM,GPM,2.577136879815388e-06,3.947899006787687e-05
GlycP,5.0557684874402725e-05,5.0557684874402725e-05,GlycP,GlycP,5.273235377219707e-06,4.5284449497183014e-05
PDH,9.52547277847648e-05,9.52547277847648e-05,PDH,PDH,1.0245177375704778e-05,8.500955040906003e-05
PGI,1.5701380814607103e-05,1.5701380814607103e-05,PGI,PGI,6.531042300976632e-06,9.170338513630472e-06
PGK,0.0001227786355149,0.0001227786355149,PGK,PGK,2.54582230431086e-06,0.00012023281321058913
PGM,1.86242933649282e-05,1.86242933649282e-05,PGM,PGM,4.500243518637841e-06,1.4124049846290358e-05
PPiPFK,3.507968860146507e-05,3.507968860146507e-05,PPiPFK,PPiPFK,4.3531034182152906e-06,3.0726585183249775e-05
PYK,9.40496304378399e-06,9.40496304378399e-06,PYK,PYK,1.0036634617343063e-05,6.316715735590734e-07
RbuCO,1.9469903010992143e-05,1.9469903010992143e-05,RbuCO,RbuCO,2.945312117333101e-06,1.652459089365904e-05
RbuK,7.270726335460985e-06,7.270726335460985e-06,RbuK,RbuK,1.3212302947759444e-06,5.949496040685041e-06
RibE,2.483835206689978e-06,2.483835206689978e-06,RibE,RibE,1.0322335616519658e-07,2.3806118505247815e-06
RibI,1.161984501321164e-06,1.161984501321164e-06,RibI,RibI,5.6765517094624574e-08,1.1052189842265395e-06
SBPase,8.485427941833999e-06,8.485427941833999e-06,SBPase,SBPase,1.1644934255176904e-07,8.36897859928223e-06
TKT,9.382188779871214e-06,9.382188779871214e-06,TKT,TKT,1.511176787844707e-08,9.367077011992766e-06
TPI,0.0001227786355149,0.0001227786355149,TPI,TPI,3.57857361061369e-07,0.00012242077815383863
Thio,0.0004133394420602,0.0004133394420602,Thio,Thio,5.206543815751892e-05,0.0003612740039026811
