Genus,Relative_Abundance1,Relative_Abundance2,Average_Relative_Abundance
Candidatus Accumulibacter,78.82377862793975,81.49473065968856,80.15925464381415
Azonexaceae,6.72281084569574,7.308595192261047,7.015703018978393
Candidatus Competibacteraceae,7.62610925980282,3.5151134810206943,5.570611370411757
Dechloromonas,4.353590672204829,4.853063891179674,4.603327281692252
Oceanospirillaceae,0.49016851913148807,0.5337057728192919,0.51193714597539
Propionivibrio,0.15889277294640639,0.20614359538716695,0.18251818416678667
Acidovorax,0.17908789485946,0.16875600130864465,0.1739219480840523
Bdellovibrio,0.15634126537182322,0.17099134090230675,0.16366630313706498
Weeksellaceae,0.14707606243563723,0.16698049906548323,0.15702828075056025
Rhodocyclaceae,0.14057165262999158,0.13301538000468074,0.13679351631733616
Xanthomonadaceae,0.13432565736024824,0.12397853348689268,0.12915209542357045
Holophagaceae,0.11731257969345645,0.13024433297055357,0.12377845633200502
Zoogloeaceae,0.13492667900576974,0.10614443492957802,0.12053555696767387
Chryseobacterium,0.10435808055620885,0.1299245051770685,0.11714129286663867
Halieaceae,0.06314342281298425,0.10301652901666108,0.08307997591482266
Bradyrhizobium,0.07044252051599083,0.09078118983552039,0.08061185517575561
Comamonadaceae,0.05497593044974413,0.07382426309530905,0.06440009677252659
Rhizobium,0.030651573063525357,0.08626610325256277,0.05845883815804406
Neisseria,0.058664437446546994,0.055830368881678076,0.05724740316411253
Pseudobdellovibrionaceae,0.036777084924660274,0.06688897241939665,0.051833028672028464
Pseudomonas,0.059298291885936355,0.04379163831575591,0.051544965100846135
Rubrivivax,0.02623170434062896,0.05425633526962086,0.04024401980512491
Planctomycetota,0.0255260586445375,0.05110625430638242,0.03831615647545996
Pseudonocardiaceae,0.027082229402836302,0.032033265405135916,0.02955774740398611
Phyllobacteriaceae,0.02350996634859842,0.03465863746368181,0.029084301906140114
Janthinobacterium,0.025047876606532835,0.023128001543215364,0.0240879390748741
Flavobacterium,0.019490608252361145,0.02834373246581738,0.023917170359089263
Ralstonia,0.023712881991450493,0.022003133947815598,0.022858007969633047
Mesorhizobium,0.024220294122108615,0.015379282367447176,0.019799788244777895
Caulobacteraceae,0.02487117162091806,0.013870116146325986,0.019370643883622023
Geothrix,0.00789427992057495,0.020606835176792498,0.014250557548683724
Cupriavidus,0.014159194891076385,0.011760145481887219,0.012959670186481802
Methylococcaceae,0.02079819339820917,0.003393160519736929,0.01209567695897305
Thauera,0.008908061734523926,0.01017325782310398,0.009540659778813954
Intrasporangiaceae,0.0,0.018533663950861083,0.009266831975430542
Pseudomonadaceae,0.010874608619483146,0.00709663419869888,0.008985621409091014
Burkholderiaceae,0.0068765244590414856,0.010787707547044102,0.008832116003042793
Arthrobacter,0.010198998506069791,0.0058237720186413485,0.00801138526235557
Acidobacteriota,0.00582034202563973,0.009970492203034453,0.007895417114337092
Kaistella,0.006990865650523563,0.007286653619834934,0.007138759635179248
Micrococcaceae,0.0,0.012203872866044336,0.006101936433022168
Magnetococcales,0.0,0.012057449587418716,0.006028724793709358
Bosea,0.003856739036712391,0.006606757184592251,0.005231748110652321
Acinetobacter,0.0025882311595942973,0.007389582514425451,0.004988906837009874
Dermatophilaceae,0.007736340134356881,0.0,0.0038681700671784405
Stutzerimonas,0.004115897039920284,0.0015668235136636907,0.0028413602767919876
Rhizobiaceae,0.0014064537082465927,0.0035272313951518887,0.0024668425516992405
Sphingopyxis,0.0,0.004216238213259008,0.002108119106629504
Sphaerotilaceae,0.0,0.003764473273134567,0.0018822366365672835
Methylomonas,0.0,0.0027255168600553363,0.0013627584300276681
Nocardiopsis,0.0,0.0020073096139007368,0.0010036548069503684
Nitrosomonadaceae,0.0,0.0019369785047401913,0.0009684892523700956
Aminobacter,0.0017837040707150479,0.0,0.0008918520353575239
Sphingomonadaceae,0.0017733473548728735,0.0,0.0008866736774364367
Novosphingobium,0.0012215962274707223,0.0,0.0006107981137353612
